  EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  203         3.1600000000000244E+008         2.9911985408166286E-001         2.9911925979538190E-001         3.5055312220693469E+000         4.9552677561758811E+000        -2.0654682135342441E+000         1.7000000000000001E-001            0.237442           14.578114           13.674671           12.320979           11.098023            9.543396            8.002889            7.372232            7.156717           11.047261           12.940691           12.230860           13.860289           12.555999           11.003860           12.588205            9.839333           11.000354           12.543694           12.584371            9.816040            9.732772           11.019493           12.563996            9.813871            0.000000
  204         3.1600000000000244E+008         3.0119096023074221E-001         3.0119036180285225E-001         3.5059087127464053E+000         4.9550132515992047E+000        -2.0605007912987756E+000         1.7000000000000001E-001            0.237494           14.557645           13.653982           12.300855           11.080348            9.528754            7.991484            7.360637            7.145334           11.030930           12.920338           12.212025           13.839981           12.535646           10.988189           12.568102            9.824680           10.984511           12.523600           12.564289            9.801410            9.718561           11.003657           12.543885            9.799242            0.000000
  205         3.1600000000000244E+008         3.0324129387416959E-001         3.0324069156776245E-001         3.5062948851307563E+000         4.9546425890995325E+000        -2.0554230075641176E+000         1.7000000000000001E-001            0.237494           14.536748           13.632867           12.280331           11.062312            9.513805            7.979825            7.348775            7.133678           11.014257           12.899577           12.192807           13.819252           12.514889           10.972187           12.547599            9.809718           10.968335           12.503106           12.543809            9.786469            9.704046           10.987488           12.523375            9.784303            0.000000
  206         3.1600000000000244E+008         3.4389666970660487E-001         3.4389596177410076E-001         3.5215782039030783E+000         4.9354335998379302E+000        -1.9205677557116869E+000         1.7000000000000001E-001            0.237120           13.915733           12.998957           11.670759           10.537098            9.101404            7.682783            7.041612            6.832716           10.536546           12.283940           11.624998           13.194716           11.896383           10.517488           11.938282            9.394595           10.507859           11.894164           11.935364            9.372101            9.304478           10.527244           11.913863            9.370198            0.000000
  207         3.1600000000000244E+008         3.4497794114962338E-001         3.4497722840932471E-001         3.5220151839927341E+000         4.9351211293363679E+000        -1.9171458374614163E+000         1.7000000000000001E-001            0.237124           13.900141           12.982756           11.655155           10.523589            9.091001            7.675382            7.033884            6.825136           10.524282           12.268311           11.610376           13.178838           11.880531           10.505816           11.922676            9.384045           10.496045           11.878569           11.919785            9.361570            9.294329           10.515435           11.898254            9.359681            0.000000
  208         3.1600000000000244E+008         3.4578817561096986E-001         3.4578745944300576E-001         3.5223032795205151E+000         4.9352379404164726E+000        -1.9150796602781999E+000         1.7000000000000001E-001            0.237138           13.890409           12.972537           11.645266           10.515087            9.084591            7.670986            7.029285            6.820630           10.516621           12.258457           11.601144           13.168862           11.870481           10.498553           11.912787            9.377534           10.488687           11.868686           11.909915            9.355073            9.288088           10.508080           11.888362            9.353192            0.000000
  209         3.1600000000000244E+008         3.4645199525751630E-001         3.4645127715497293E-001         3.5225138289859128E+000         4.9354196467860811E+000        -1.9135664444624028E+000         1.7000000000000001E-001            0.237142           13.883320           12.965065           11.638013           10.508848            9.079893            7.667769            7.025924            6.817335           10.511002           12.251247           11.594372           13.161577           11.863112           10.493227           11.905535            9.372762           10.483290           11.861438           11.902677            9.350309            9.283514           10.502687           11.881107            9.348435            0.000000
  210         3.1600000000000244E+008         3.4769399302169113E-001         3.4769327258542659E-001         3.5228328481640054E+000         4.9351880878900802E+000        -1.9104335807225306E+000         1.7000000000000001E-001            0.237127           13.870414           12.951697           11.625072           10.497418            9.070731            7.660782            7.018695            6.810213           10.500476           12.238297           11.582136           13.148449           11.849991           10.483130           11.892592            9.363484           10.473090           11.848502           11.889753            9.341047            9.274529           10.492492           11.868162            9.339184            0.000000
  211         3.1600000000000244E+008         3.4927367124484288E-001         3.4927294937707087E-001         3.5232246539776115E+000         4.9344504872499497E+000        -1.9060566671612531E+000         1.7000000000000001E-001            0.237109           13.853203           12.934022           11.608007           10.482183            9.058212            7.650865            7.008461            6.800115           10.486316           12.221154           11.565912           13.131031           11.832703           10.469479           11.875525            9.350825           10.459318           11.831444           11.872707            9.328404            9.262217           10.478724           11.851091            9.326553            0.000000
  212         3.1600000000000244E+008         3.5207222228429147E-001         3.5207149717881392E-001         3.5240435134413590E+000         4.9329342946760022E+000        -1.8976843673325088E+000         1.7000000000000001E-001            0.237084           13.819294           12.899104           11.574346           10.452310            9.034020            7.632084            6.989012            6.780949           10.458683           12.187346           11.533988           13.096660           11.798573           10.442907           11.841853            9.326329           10.432494           11.797793           11.839085            9.303944            9.238443           10.451910           11.817414            9.302119            0.000000
